S. No.,State/UT,GA,RF,PF,UF,Total
1,Andhra Pradesh,162968,31959,5069,230,37258
2,Arunachal Pradesh,83743,10589,9779,31039,51407
3,Assam,78438,17864,0,8968,26832
4,Bihar,94163,693,6183,1,6877
5,Chhattisgarh,135192,25782,24036,9954,59772
6,Delhi,1483,78,24,0,102
7,Goa,3702,253,0,972,1225
8,Gujarat,196244,14373,2886,4388,21647
9,Haryana,44212,249,1158,152,1559
10,Himachal Pradesh,55673,1898,33130,2005,37033
11,Jammu & Kashmir,222236,17643,2551,36,20230
12,Jharkhand,79716,4387,19185,33,23605
13,Karnataka,191791,28690,3931,5663,38284
14,Kerala,38852,11309,0,0,11309
15,Madhya Pradesh,308252,61886,31098,1705,94689
16,Maharashtra,307713,49546,6733,5300,61579
17,Manipur,22327,1467,4171,11780,17418
18,Meghalaya,22429,1113,12,8371,9496
19,Mizoram,21081,4483,0,1158,5641
20,Nagaland,16579,234,0,8389,8623
21,Odisha,155707,36049,25133,22,61204
22,Punjab,50362,44,1137,1903,3084
23,Rajasthan,342239,12475,18217,2045,32737
24,Sikkim,7096,5452,389,0,5841
25,Tamil Nadu,130060,20293,1782,802,22877
26,Telangana,112077,20353,5939,612,26904
27,Tripura,10486,4175,2,2117,6294
28,Uttar Pradesh,240928,12071,1157,3354,16582
29,Uttarakhand,53483,26547,9885,1568,38000
30,West Bengal,88752,7054,3772,1053,11879
31,Andaman and Nicobar Islands,8249,5613,1558,0,7171
32,Chandigarh,114,32,0,3,35
33,Dadra & Nagar Haveli,491,199,5,0,204
34,Daman & Diu,111,0,0,8,8
35,Lakshadweep,30,0,0,0,0
36,Puducherry,490,0,2,11,13
